Postcode,Suburb,People,Male,Female,MalePercentage,FemalePercentage,MedianAge,Families,AverageChildren,AllPrivateDwellings,AvgPeopleperHousehold,MedianWeeklyHouseholdIncome,MedianMortgageRepayments,MedianWeeklyRent,AvgVehiclesperDwelling,UnemploymentRate
3813,Tynong,1105,574,531,51.9,48.1,40,285,2.3,384,2.9,1393,2058,185,2.6,4.2
3814,Garfield,1918,951,967,49.6,50.4,39,512,2.1,734,2.7,1129,1517,230,2.2,3
3815,Bunyip Tonimbuk,2912,1450,1462,49.8,50.2,41,773,2,1103,2.8,1236,1650,200,2.4,3.4
3816,Longwarry South North,1972,1000,972,50.7,49.3,37,555,1.9,806,2.6,1071,1517,205,2.1,5.1
3818,Drouin South West Jindivick,12089,5950,6139,49.2,50.8,40,3287,2,5050,2.5,991,1517,220,1.9,5.2
3820,Warragul,14074,6661,7413,47.3,52.7,40,3838,2,6077,2.5,993,1387,205,1.8,5.3
3833,Noojee Loch Valley Tanjil Bren,317,165,152,52.1,47.9,45,78,2.6,309,2.2,605,1018,113,1.8,4.3
3910,Langwarrin,21371,10426,10945,48.8,51.2,35,6035,1.9,8101,2.8,1385,1733,280,2,3.9
3911,Baxter,3271,1620,1651,49.5,50.5,37,940,1.8,1260,2.7,1223,1570,230,2.2,5.4
3912,Somerville Pearcedale,14604,7143,7461,48.9,51.1,38,4061,1.9,5458,2.8,1315,1620,270,2.2,4
3913,Tyabb,3306,1644,1662,49.7,50.3,38,956,1.9,1261,2.8,1317,1720,275,2.2,3.9
3915,Hastings,9029,4364,4665,48.3,51.7,37,2425,1.9,3945,2.4,865,1517,230,1.6,7.4
3916,Merricks Shoreham,586,294,292,50.2,49.8,51,158,1.8,539,2.5,1571,975,260,2.1,1.5
3918,Bittern,3378,1702,1676,50.4,49.6,38,956,1.9,1296,2.8,1292,1733,240,2.2,4.8
3919,Crib Point,2839,1444,1395,50.9,49.1,36,783,1.8,1228,2.6,1058,1455,250,1.9,5.7
3920,HMAS Cerebus,1085,779,306,71.8,28.2,21,88,1.9,115,3,1725,0,225,1.8,0.4
3921,Tankerton,116,57,59,49.1,50.9,50,28,1.7,98,2,414,1196,0,1.6,7
3922,Cowes,6799,3309,3490,48.7,51.3,47,1763,1.8,8094,2.2,813,1350,220,1.6,5.2
3923,Rhyll,674,337,337,50,50,53,193,1.7,568,2.2,936,1900,280,1.9,4.5
3926,Balnarringg,3298,1601,1697,48.5,51.5,46,899,1.9,1873,2.5,1196,1733,260,2.1,3.3
3927,Somers,1427,711,716,49.8,50.2,48,386,1.8,1097,2.4,1377,1450,270,1.9,4.3
3928,Main Ridge,469,231,238,49.3,50.7,47,130,2,296,2.6,1365,2050,208,2.3,0
3929,Flinders,860,443,417,51.5,48.5,56,224,1.7,919,2.2,1328,2000,260,2,3.2
3930,Mount Eliza,17248,8351,8897,48.4,51.6,43,4792,1.9,6596,2.8,1695,2167,354,2.1,3.2
3931,Mornington,22422,10434,11988,46.5,53.5,43,6096,1.8,10501,2.3,1026,1733,280,1.7,5
3933,Moorooduc,1028,529,499,51.5,48.5,45,298,1.9,383,3,1650,2000,277,2.8,2.4
3934,Mount Martha,17087,8226,8861,48.1,51.9,41,4646,2,7536,2.7,1415,1950,346,1.9,3.3
3936,Dromana,9014,4406,4608,48.9,51.1,49,2548,1.8,6962,2.2,906,1517,270,1.7,5.3
3937,Red Hill,1903,928,975,48.8,51.2,48,525,1.9,1150,2.6,1503,1842,241,2.3,1.4
3938,McCrae,2543,1239,1304,48.7,51.3,52,728,1.7,1834,2.3,997,1625,260,1.9,2.9
3939,Rosebud,13617,6422,7195,47.2,52.8,48,3702,1.8,8583,2.2,770,1517,240,1.6,5.8
3940,Rosebud West,4579,2064,2515,45.1,54.9,58,1100,1.8,3263,2,641,1343,238,1.3,9.8
3941,Rye Tootgarook,11705,5838,5867,49.9,50.1,45,3068,1.8,11482,2.3,849,1517,250,1.7,5.2
3942,Blairgowrie,2161,1072,1089,49.6,50.4,55,564,1.7,3345,2.1,890,1517,275,1.7,4.8
3943,Sorrento,1448,699,749,48.3,51.7,63,370,1.7,2911,2,892,1420,237,1.7,2.4
3944,Portsea Blackwarry,446,220,226,49.3,50.7,65,107,1.7,1331,1.9,1874,2167,550,1.9,2.3
3945,Loch Krowera Woodleigh,967,504,463,52.1,47.9,48,289,1.9,461,2.5,1101,1200,180,2.3,4.1
3946,Bena,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3953,Leongatha Hallston Trida Ruby,7281,3500,3781,48.1,51.9,42,1977,2,3269,2.4,984,1343,206,1.9,3.2
3956,Meeniyan Tarwin Meadows,2217,1108,1109,50,50,47,602,1.9,2700,2.3,746,1144,180,1.9,4.2
3975,Lyndhurst,11666,5813,5853,49.8,50.2,31,3236,1.9,3766,3.3,1705,2167,350,2,5
3976,Hampton Park,23767,11893,11874,50,50,32,6312,1.9,7876,3.1,1165,1517,282,1.8,7.9
3977,Cranbourne Skye Devon Meadows,67424,33461,33963,49.6,50.4,32,18420,1.9,24558,2.9,1297,1777,285,1.9,5.8
3978,Clyde,1218,649,569,53.3,46.7,40,344,2,460,3,1353,1733,200,2.7,3.6
3979,Kernot Korrine,666,336,330,50.5,49.5,46,199,2,339,2.4,1073,1733,168,2.3,3.8
3980,Tooradin,3060,1588,1472,51.9,48.1,37,878,1.9,1223,2.7,1234,1668,240,2.2,4
3981,Koo Wee Rup,4262,2125,2137,49.9,50.1,38,1155,2,1672,2.7,1115,1636,193,2.2,3.7
3984,Lang Lang,4758,2386,2372,50.1,49.9,46,1293,1.9,2994,2.3,774,1300,190,1.9,6.1
3987,Nyora,1332,640,692,48,52,39,380,2,506,2.8,1157,1365,230,2.3,3.2
3988,Poowong East North Topiram,895,464,431,51.8,48.2,40,253,2.1,381,2.7,1032,1343,165,2.1,2.9
3990,Glen Forbes,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3991,Bass,414,205,209,49.5,50.5,47,124,2,219,2.5,877,1083,160,2.3,2.3
