Postcode,Suburb,People,Male,Female,MalePercentage,FemalePercentage,MedianAge,Families,AverageChildren,AllPrivateDwellings,AvgPeopleperHousehold,MedianWeeklyHouseholdIncome,MedianMortgageRepayments,MedianWeeklyRent,AvgVehiclesperDwelling,UnemploymentRate
3718,Molesworth,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3750,Wollert,509,267,242,52.5,47.5,37,160,1.8,205,2.7,1355,2400,284,2.4,2.8
3751,Woodstock,337,185,152,54.9,45.1,46,100,1.8,139,2.8,1462,1600,427,2.6,2.3
3752,South Morang,20874,10224,10650,49,51,31,5640,1.9,6947,3.1,1576,2000,340,2,4.5
3753,Beveridge,872,459,413,52.6,47.4,37,241,1.9,319,3.2,1533,2000,320,2.7,3.8
3754,Mernda Doreen,17786,8809,8977,49.5,50.5,29,5053,1.9,6545,3,1721,2167,360,2.1,3.2
3755,Yan Yean,299,151,148,50.5,49.5,42,86,1.8,116,2.8,1325,1800,160,2.5,1.9
3756,Wallan Wallan,9255,4598,4657,49.7,50.3,33,2468,2,3320,3,1412,1780,300,2.2,4.2
3757,Whittlesea Eden Park Glenvale,7986,4011,3975,50.2,49.8,38,2159,1.9,2961,2.8,1301,1783,260,2.2,4
3758,Wandongg,2140,1109,1031,51.8,48.2,36,588,2,749,3.1,1440,1733,200,2.6,4.8
3759,Panton Hill,1158,584,574,50.4,49.6,41,322,2,401,3.1,1616,2000,220,2.8,3.8
3760,Smiths Gully,391,200,191,51.2,48.8,42,113,1.6,143,2.8,1211,1600,125,2.5,4.9
3761,St Andrews Mittons Bridge,1138,592,546,52,48,41,312,2,415,3,1485,1832,250,2.4,4.2
3762,Bylands,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3763,Kinglake,1347,696,651,51.7,48.3,37,337,1.9,521,2.7,1165,1548,80,2.1,4.1
3764,Kilmore,7535,3725,3810,49.4,50.6,38,1997,2,2949,2.7,1230,1677,245,2.1,5
3765,Montrose,6733,3269,3464,48.6,51.4,40,1810,1.9,2450,2.8,1391,1722,250,2.2,3.6
3766,Kalorama,1208,625,583,51.7,48.3,40,340,1.8,531,2.6,1528,1800,275,2,3.5
3767,Mount Dandenong,1237,614,623,49.6,50.4,44,351,1.9,539,2.6,1344,1733,300,2,3.8
3770,Coldstream Gruyere Yering,3189,1633,1556,51.2,48.8,38,920,1.9,1166,2.9,1368,1733,250,2.5,3
3775,Yarra Glen Christmas Hills,3490,1749,1741,50.1,49.9,39,988,1.9,1418,2.7,1314,1690,260,2.3,3
3777,Healesville Mt Slide Castella,10333,5035,5298,48.7,51.3,41,2807,1.9,4455,2.5,1026,1517,230,1.9,4.5
3778,Narbethong,474,249,225,52.5,47.5,47,131,1.9,288,2.2,805,1950,120,2.2,2.8
3779,Marysville,223,115,108,51.6,48.4,52,67,2,188,2.2,818,2100,325,1.8,9.1
3781,Cockatoo Nangana,4400,2227,2173,50.6,49.4,36,1184,1.9,1625,2.9,1303,1517,265,2.2,4.7
3782,Emerald Clematis Avonsleigh,7771,3897,3874,50.1,49.9,40,2181,1.9,2918,2.8,1430,1625,273,2.2,4
3783,Gembrook,2149,1117,1032,52,48,40,595,1.9,810,2.8,1310,1800,230,2.3,6
3785,Tremont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3786,Ferny Creek,1535,785,750,51.1,48.9,40,426,2,638,2.8,1679,1733,325,2.1,3.2
3787,Sassafras South,1145,579,566,50.6,49.4,42,331,1.8,457,2.7,1642,1921,260,2.2,4.5
3788,Olinda,1663,827,836,49.7,50.3,42,484,1.7,756,2.5,1418,1800,300,2,4.4
3789,Sherbrooke,268,137,131,51.1,48.9,49,80,1.6,131,2.4,1442,2167,300,2,4.5
3791,Kallista,1557,788,769,50.6,49.4,42,452,1.9,640,2.7,1510,1842,250,2,4.4
3792,The Patch,1038,535,503,51.5,48.5,44,300,1.9,409,2.8,1627,1500,176,2.2,1.9
3793,Monbulk,3456,1692,1764,49,51,40,989,1.9,1359,2.7,1171,1525,250,2.1,4.5
3795,Silvan South Burleigh,1220,608,612,49.8,50.2,39,346,2,470,2.8,1143,1712,175,2.4,1.9
3796,Mount Evelyn Kalorama McKillop,9374,4687,4687,50,50,36,2590,2,3362,2.9,1417,1647,275,2.2,4.1
3797,Yarra Junction Powelltown,3202,1550,1652,48.4,51.6,41,826,1.9,1334,2.6,969,1500,220,2,3.9
3799,Warburton East Cambarville,6015,2990,3025,49.7,50.3,41,1603,1.8,2963,2.4,825,1300,224,1.8,6.1
3802,Endeavour Hills,24574,12322,12252,50.1,49.9,36,6940,1.9,8338,3.1,1322,1653,300,2,6.7
3803,Hallam,10162,5005,5157,49.3,50.7,35,2790,1.9,3500,3,1156,1577,285,1.9,8.3
3804,Narre Warren North East,6704,3376,3328,50.4,49.6,40,1798,2.1,1970,3.5,1956,2167,289,2.9,3.3
3805,Narre Warren,54480,27236,27244,50,50,32,14645,2,17864,3.2,1424,1733,300,2,5.4
3806,Berwick,45551,22160,23391,48.6,51.4,35,12372,2,16232,2.9,1566,1950,320,2,4.5
3807,Beaconsfield,6790,3404,3386,50.1,49.9,35,1783,2,2291,3.1,1662,1939,265,2.2,3.9
3808,Beaconsfield Upper,2977,1487,1490,49.9,50.1,41,807,2,990,3.1,1883,2000,250,2.7,2.4
3809,Officer,1761,896,865,50.9,49.1,31,488,2,724,2.8,1762,2080,300,2.2,3
3810,Pakenham,35306,17162,18144,48.6,51.4,31,9628,1.9,13735,2.8,1237,1777,291,1.8,5.4
3812,Nar Nar Goon Maryknoll,2269,1131,1138,49.8,50.2,41,641,2,835,3,1386,1863,180,2.5,3.4
